time	pelvis_imu	femur_r_imu	tibia_r_imu
0.000	-3.630000,-68.690000,0.000000	90.040000,-5.110000,0.000000	90.710000,7.700000,0.000000
0.135	-3.640000,-68.690000,0.000000	90.030000,-5.010000,0.000000	90.710000,7.710000,0.000000
0.270	-3.440000,-68.570000,0.000000	89.990000,-4.920000,0.000000	90.610000,7.830000,0.000000
0.389	-3.320000,-68.600000,0.000000	89.970000,-4.930000,0.000000	90.560000,7.890000,0.000000
0.525	-3.170000,-68.550000,0.000000	89.960000,-4.970000,0.000000	90.540000,7.850000,0.000000
0.660	-2.960000,-68.570000,0.000000	90.040000,-5.080000,0.000000	90.500000,7.830000,0.000000
0.779	-3.000000,-68.540000,0.000000	90.030000,-4.940000,0.000000	90.400000,7.860000,0.000000
0.915	-2.830000,-68.580000,0.000000	90.110000,-4.940000,0.000000	90.430000,7.930000,0.000000
1.050	-2.630000,-68.600000,0.000000	90.170000,-4.990000,0.000000	90.430000,7.880000,0.000000
1.170	-2.360000,-68.620000,0.000000	90.180000,-4.800000,0.000000	90.380000,7.840000,0.000000
1.305	-2.560000,-68.540000,0.000000	90.210000,-4.680000,0.000000	90.410000,7.800000,0.000000
1.440	-2.520000,-68.640000,0.000000	90.170000,-4.540000,0.000000	90.380000,7.870000,0.000000
1.560	-2.770000,-68.620000,0.000000	90.200000,-4.550000,0.000000	90.390000,7.860000,0.000000
1.695	-2.970000,-68.610000,0.000000	90.240000,-4.650000,0.000000	90.430000,7.850000,0.000000
1.830	-3.210000,-68.580000,0.000000	90.160000,-4.640000,0.000000	90.450000,7.900000,0.000000
1.950	-3.470000,-68.540000,0.000000	90.200000,-4.690000,0.000000	90.530000,7.880000,0.000000
2.085	-3.500000,-68.610000,0.000000	90.230000,-4.680000,0.000000	90.400000,7.670000,0.000000
2.220	-3.150000,-68.550000,0.000000	90.240000,-4.700000,0.000000	90.320000,7.770000,0.000000
2.340	-3.050000,-68.530000,0.000000	90.150000,-4.670000,0.000000	90.150000,7.820000,0.000000
2.475	-2.970000,-68.490000,0.000000	90.170000,-4.650000,0.000000	90.120000,7.840000,0.000000
2.610	-2.860000,-68.450000,0.000000	90.300000,-4.610000,0.000000	90.170000,7.880000,0.000000
2.730	-2.660000,-68.450000,0.000000	90.270000,-4.460000,0.000000	90.190000,7.880000,0.000000
2.865	-2.710000,-68.410000,0.000000	90.200000,-4.410000,0.000000	90.240000,7.800000,0.000000
3.000	-2.770000,-68.490000,0.000000	90.220000,-4.330000,0.000000	90.280000,7.850000,0.000000
3.119	-2.580000,-68.340000,0.000000	90.180000,-4.270000,0.000000	90.340000,7.810000,0.000000
3.255	-2.370000,-68.270000,0.000000	90.140000,-4.330000,0.000000	90.340000,7.880000,0.000000
3.390	-2.320000,-68.160000,0.000000	89.980000,-4.380000,0.000000	90.370000,7.910000,0.000000
