time	pelvis_imu	femur_r_imu	tibia_r_imu	femur_l_imu	tibia_l_imu
0.000	15.370000,-79.220000,0.000000	79.150000,-13.960000,0.000000	83.220000,-2.960000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.120	15.400000,-79.240000,0.000000	79.130000,-14.020000,0.000000	83.140000,-2.650000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.255	15.520000,-79.320000,0.000000	79.160000,-14.090000,0.000000	83.140000,-2.400000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.391	15.390000,-79.360000,0.000000	79.190000,-14.170000,0.000000	83.250000,-2.450000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.510	15.320000,-79.350000,0.000000	79.130000,-14.250000,0.000000	83.330000,-2.480000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.645	14.440000,-79.180000,0.000000	79.170000,-14.390000,0.000000	83.330000,-2.730000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.780	13.560000,-79.070000,0.000000	79.220000,-14.420000,0.000000	83.400000,-2.720000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
0.915	13.490000,-79.000000,0.000000	79.100000,-14.380000,0.000000	83.370000,-2.750000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.035	13.050000,-78.880000,0.000000	78.960000,-14.340000,0.000000	83.420000,-2.600000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.170	13.100000,-78.810000,0.000000	79.100000,-14.390000,0.000000	83.550000,-2.600000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.290	13.040000,-78.660000,0.000000	79.140000,-14.400000,0.000000	83.630000,-2.770000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.440	12.310000,-78.670000,0.000000	79.300000,-14.520000,0.000000	83.720000,-2.790000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
1.560	11.450000,-78.570000,0.000000	79.410000,-14.610000,0.000000	83.760000,-3.050000,0.000000	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000
