0.00000	24.160000,-75.190000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
0.05464	24.570000,-75.190000,0.000000	92.500000,-7.090000,0.000000	92.710000,-12.620000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
0.08972	25.410000,-75.230000,0.000000	92.310000,-6.860000,0.000000	92.500000,-12.500000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
0.13507	25.060000,-75.280000,0.000000	92.110000,-6.760000,0.000000	92.290000,-12.810000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
0.18818	24.700000,-75.390000,0.000000	92.060000,-6.610000,0.000000	92.080000,-12.540000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
0.22246	23.670000,-75.450000,0.000000	92.050000,-6.410000,0.000000	91.830000,-12.660000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
0.26811	23.300000,-75.430000,0.000000	92.020000,-6.000000,0.000000	91.740000,-12.770000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
0.32445	22.570000,-75.480000,0.000000	91.740000,-5.500000,0.000000	91.600000,-12.420000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
0.36000	22.200000,-75.490000,0.000000	91.710000,-4.920000,0.000000	91.420000,-12.250000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
0.40255	20.640000,-75.580000,0.000000	91.640000,-4.710000,0.000000	91.220000,-12.070000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
0.45067	18.850000,-75.570000,0.000000	91.480000,-4.480000,0.000000	90.910000,-12.150000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
0.50186	17.560000,-75.610000,0.000000	91.360000,-4.280000,0.000000	90.660000,-11.950000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
0.55323	16.120000,-75.650000,0.000000	91.230000,-4.000000,0.000000	90.430000,-11.840000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
0.58930	15.490000,-75.670000,0.000000	91.130000,-3.590000,0.000000	90.090000,-11.760000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
0.64754	14.110000,-75.690000,0.000000	90.970000,-3.300000,0.000000	89.740000,-11.740000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
0.67986	12.950000,-75.550000,0.000000	90.900000,-2.940000,0.000000	89.390000,-11.720000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
0.72564	11.990000,-75.610000,0.000000	90.790000,-2.490000,0.000000	89.120000,-11.580000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
0.77356	10.120000,-75.630000,0.000000	90.660000,-2.090000,0.000000	88.840000,-11.520000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
0.81596	9.110000,-75.610000,0.000000	90.440000,-1.650000,0.000000	88.560000,-11.490000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
0.85490	8.160000,-75.720000,0.000000	90.260000,-1.230000,0.000000	88.260000,-11.360000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
0.90221	6.990000,-75.930000,0.000000	90.130000,-0.950000,0.000000	87.920000,-11.150000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
0.94656	5.420000,-76.110000,0.000000	90.130000,-0.820000,0.000000	87.630000,-10.970000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
0.98384	4.790000,-76.160000,0.000000	90.060000,-0.740000,0.000000	87.520000,-11.100000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
1.04054	4.200000,-76.330000,0.000000	90.080000,-0.570000,0.000000	87.350000,-11.000000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
1.08510	3.800000,-76.680000,0.000000	90.070000,-0.330000,0.000000	87.160000,-10.820000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
1.12172	3.270000,-76.910000,0.000000	90.020000,-0.120000,0.000000	86.980000,-10.840000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
1.17224	2.800000,-77.030000,0.000000	89.910000,0.050000,0.000000	86.780000,-10.890000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
1.21803	2.640000,-77.280000,0.000000	89.770000,0.240000,0.000000	86.580000,-10.930000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
1.26488	1.990000,-77.490000,0.000000	89.720000,0.380000,0.000000	86.400000,-10.890000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
1.33254	1.170000,-77.670000,0.000000	89.650000,0.470000,0.000000	86.210000,-10.830000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
1.44770	1.050000,-77.760000,0.000000	89.640000,0.640000,0.000000	86.120000,-10.810000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
1.46103	1.400000,-77.840000,0.000000	89.640000,0.890000,0.000000	86.010000,-10.900000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
1.46441	1.860000,-77.920000,0.000000	89.700000,1.110000,0.000000	85.900000,-10.770000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
1.51924	2.640000,-78.010000,0.000000	89.750000,1.390000,0.000000	85.850000,-10.730000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
1.58413	2.810000,-78.160000,0.000000	89.880000,1.560000,0.000000	85.880000,-10.640000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
1.58624	2.730000,-78.290000,0.000000	89.960000,1.740000,0.000000	85.900000,-10.660000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
1.63486	2.920000,-78.380000,0.000000	90.000000,1.870000,0.000000	85.830000,-10.700000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
1.69737	3.540000,-78.500000,0.000000	90.120000,2.030000,0.000000	85.880000,-10.750000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
1.75465	3.910000,-78.570000,0.000000	90.200000,2.090000,0.000000	85.890000,-10.810000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
1.76544	4.260000,-78.730000,0.000000	90.220000,2.120000,0.000000	85.880000,-10.860000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
1.81897	4.010000,-78.880000,0.000000	90.320000,2.090000,0.000000	85.900000,-10.920000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
1.87249	4.010000,-78.960000,0.000000	90.380000,2.070000,0.000000	85.940000,-11.060000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
1.93576	4.280000,-79.070000,0.000000	90.490000,2.120000,0.000000	85.940000,-11.130000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
1.94283	4.690000,-79.080000,0.000000	90.610000,2.160000,0.000000	85.970000,-11.090000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
1.99866	5.340000,-79.060000,0.000000	90.730000,2.190000,0.000000	86.140000,-11.240000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
2.11769	5.880000,-79.040000,0.000000	90.800000,2.200000,0.000000	86.080000,-11.410000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
2.12134	6.520000,-79.130000,0.000000	90.990000,2.190000,0.000000	86.130000,-11.330000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
2.12399	6.970000,-79.190000,0.000000	91.110000,2.150000,0.000000	86.240000,-11.210000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
2.18140	7.280000,-79.260000,0.000000	91.210000,2.140000,0.000000	86.260000,-11.190000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
2.23512	7.580000,-79.330000,0.000000	91.230000,2.060000,0.000000	86.200000,-11.090000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
2.29749	7.290000,-79.440000,0.000000	91.220000,1.910000,0.000000	86.140000,-11.060000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
2.30223	6.640000,-79.570000,0.000000	91.180000,1.700000,0.000000	86.130000,-11.180000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
2.35371	6.220000,-79.690000,0.000000	91.130000,1.520000,0.000000	86.080000,-11.170000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
2.41635	5.480000,-79.760000,0.000000	91.030000,1.390000,0.000000	86.000000,-11.350000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
2.47317	4.460000,-79.820000,0.000000	90.900000,1.190000,0.000000	85.950000,-11.420000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
2.48097	4.800000,-79.860000,0.000000	90.880000,1.010000,0.000000	85.870000,-11.500000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
2.53684	4.430000,-79.830000,0.000000	90.810000,0.950000,0.000000	85.850000,-11.560000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
2.59374	4.430000,-79.860000,0.000000	90.800000,0.980000,0.000000	85.860000,-11.440000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
2.65239	4.590000,-79.770000,0.000000	90.850000,1.000000,0.000000	85.870000,-11.380000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
2.66201	4.680000,-79.600000,0.000000	90.980000,0.880000,0.000000	85.880000,-11.740000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
2.71980	4.680000,-79.460000,0.000000	91.050000,0.330000,0.000000	86.210000,-12.780000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
2.78368	3.940000,-79.340000,0.000000	91.210000,-0.640000,0.000000	86.480000,-13.740000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
2.83218	3.940000,-79.220000,0.000000	91.500000,-1.510000,0.000000	87.260000,-13.770000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
2.84248	3.060000,-79.150000,0.000000	91.930000,-2.640000,0.000000	88.060000,-14.120000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
2.89764	2.560000,-78.950000,0.000000	92.040000,-4.110000,0.000000	88.010000,-13.970000,0.000000	92.430000,-7.330000,0.000000	92.700000,-13.120000,0.000000
